id,title,genre,desc
0,Iron Man,"Action,Science Fiction,Adventure",
1,Iron Man 2,"Adventure,Action,Science Fiction",
2,Avengers: Infinity War,"Adventure,Action,Science Fiction",
3,Black Panther,"Action,Adventure,Science Fiction",
4,Captain America: Civil War,"Adventure,Action,Science Fiction",
5,Blood and Black Lace,"Horror,Mystery,Thriller",
6,Jacob's Ladder,"Drama,Mystery,Horror",
7,A Quiet Place,"Horror,Drama,Science Fiction",
8,Cure,"Crime,Thriller,Horror,Mystery",
9,Saw,"Horror,Mystery,Crime",
10,Gentlemen Prefer Blondes,"Music,Comedy,Romance",
11,Elisa & Marcela,"Drama,Romance",
12,"What's Up, Doc?","Comedy,Romance",
13,French Fried Vacation 2,Comedy,
14,From Here to Eternity,"War,Romance,Drama",
15,Rocketman,"Music,Drama,History",
16,A Man for All Seasons,"Drama,History",
17,Cyrano de Bergerac,"Drama,Comedy,History,Romance",
18,Bloody Sunday,"Drama,History",
19,Les Misérables,"History,Drama",
